"id","fdcId","nameRu","nameEn","wfpbStatus","createdAt","calories","protein","fat","carbohydrates","water","fiber","sugarTotal","sucrose","glucose","fructose","lactose","maltose","saturatedFat","monounsaturatedFat","polyunsaturatedFat","transFat","cholesterol","omega3","omega6","calcium","iron","magnesium","phosphorus","potassium","sodium","zinc","copper","manganese","selenium","vitaminC","thiamin","riboflavin","niacin","pantothenicAcid","vitaminB6","biotin","folate","vitaminB12","vitaminA","vitaminD","vitaminE","vitaminK","lysine","methionine","alanine","arginine","asparticAcid","betaCarotene","cystine","glutamicAcid","glycine","histidine","iodine","isoleucine","leucine","omega9","phenylalanine","proline","retinol","serine","threonine","tryptophan","tyrosine","valine","vitaminD2","vitaminD3"
"cms1hnp3c000lun7l2prbfcnr","2346411","черника","blueberries, raw","green","2026-07-26 07:40:40.776","63.8563","0.703125","0.3063","14.571775","84.19","0.0","9.356","0.0","4.417","4.939","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11.69","0.3398","6.179","12.96","85.64","0.0","0.08534","0.04605","0.4228","0.0","8.059","0.0","0.0","0.0","0.0","0.0","0.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"cms1hnq2q000mun7ljqkqt408","171320","палочка корицы","cinnamon, stick, raw","green","2026-07-26 07:40:42.051","247.0","3.99","1.24","80.6","10.6","53.1","2.17","0.02","1.04","1.11","0.0","0.0","0.345","0.246","0.068","0.0","0.0","0.0","0.055","1000.0","8.32","60.0","64.0","431.0","10.0","1.83","0.339","17.5","3.1","3.8","0.022","0.041","1.33","0.358","0.158","0.0","6.0","0.0","15.0","0.0","2.32","31.2","0.243","0.078","0.166","0.166","0.438","112.0","0.058","0.37","0.195","0.117","0.0","0.146","0.253","0.0","0.146","0.419","0.0","0.195","0.136","0.049","0.136","0.224","0.0","0.0"
"cms1ic8ql0000unr5vfir1kmg","174284","чечевица красная","Lentils, red, raw","green","2026-07-26 07:59:45.982","358.0","23.91","2.17","63.1","7.82","10.8","0.0","0.0","0.0","0.0","0.0","0.0","0.379","0.5","1.137","0.0","0.0","0.0","2.0220000000000002","48.0","7.39","59.0","294.0","668.0","7.0","3.6","1.303","1.716","0.0","1.7","0.51","0.106","1.495","0.348","0.403","0.0","204.0","0.0","3.0","0.0","0.0","0.0","1.74","0.212","1.042","1.928","2.758","35.0","0.327","3.868","1.014","0.702","0.0","1.078","1.809","0.042","1.23","1.042","0.0","1.15","0.895","0.223","0.667","1.238","0.0","0.0"
"cms1ic96m0001unr5ujfnmclu","173756","нут","Chickpeas, raw","green","2026-07-26 07:59:46.559","378.0","20.47","6.04","62.95","7.68","12.2","10.7","0.0","0.0","0.0","0.0","0.0","0.603","1.377","2.731","0.0","0.0","0.0","5.359999999999999","57.0","4.31","79.0","252.0","718.0","24.0","2.76","0.656","4.15","0.0","4.0","0.477","0.212","1.541","1.588","0.535","0.0","557.0","0.0","3.0","0.0","0.82","9.0","1.377","0.27","0.882","1.939","2.422","40.0","0.279","3.603","0.857","0.566","0.0","0.882","1.465","0.0","1.103","0.849","0.0","1.036","0.766","0.2","0.512","0.865","0.0","0.0"
"cms1icflv0002unr5a5gld2dk","172420","чечевица зеленая","Lentils, green, raw","green","2026-07-26 07:59:54.883","352.0","24.63","1.06","63.35","8.26","10.7","2.03","1.47","0.0","0.27","0.0","0.3","0.154","0.193","0.526","0.0","0.0","0.0","0.94","35.0","6.51","47.0","281.0","677.0","6.0","3.27","0.754","1.393","0.1","4.5","0.873","0.211","2.605","2.14","0.54","0.0","479.0","0.0","2.0","0.0","0.49","5.0","1.72","0.21","1.029","1.903","2.725","23.0","0.322","3.819","1.002","0.693","0.1","1.065","1.786","0.0","1.215","1.029","0.0","1.136","0.882","0.221","0.658","1.223","0.0","0.0"
"cms1icrmi0003unr5gfetpahf","175202","фасоль белая","Beans, white, mature seeds, raw","green","2026-07-26 08:00:10.458","333.0","23.36","0.85","60.27","11.32","15.2","2.11","0.0","0.0","0.0","0.0","0.0","0.219","0.074","0.364","0.0","0.0","0.0","0.562","240.0","10.44","190.0","301.0","1795.0","16.0","3.67","0.984","1.796","12.8","0.0","0.437","0.146","0.479","0.732","0.318","0.0","388.0","0.0","0.0","0.0","0.21","5.6","1.603","0.351","0.979","1.446","2.825","0.0","0.254","3.561","0.912","0.65","12.8","1.031","1.865","0.0","1.263","0.99","0.0","1.271","0.983","0.277","0.658","1.222","0.0","0.0"
"cms1icshz0004unr5bfazwvnj","170419","горох зеленый","peas, green, raw","green","2026-07-26 08:00:11.592","81.0","5.42","0.4","14.45","78.86","5.7","5.67","4.99","0.12","0.39","0.0","0.17","0.071","0.035","0.187","0.0","0.0","0.0","0.33899999999999997","25.0","1.47","33.0","108.0","244.0","5.0","1.24","0.176","0.41","1.8","40.0","0.266","0.132","2.09","0.104","0.169","0.0","65.0","0.0","38.0","0.0","0.13","24.8","0.317","0.082","0.24","0.428","0.496","449.0","0.032","0.741","0.184","0.107","1.8","0.195","0.323","0.0","0.2","0.173","0.0","0.181","0.203","0.037","0.114","0.235","0.0","0.0"
"cms1ictal0005unr51jwpbeip","174256","маш","Mung beans, raw","green","2026-07-26 08:00:12.621","347.0","23.86","1.15","62.62","9.05","16.3","6.6","0.0","0.0","0.0","0.0","0.0","0.348","0.161","0.384","0.0","0.0","0.0","0.741","132.0","6.74","189.0","367.0","1246.0","15.0","2.68","0.941","1.035","8.2","4.8","0.621","0.233","2.251","1.91","0.382","0.0","625.0","0.0","6.0","0.0","0.51","9.0","1.664","0.286","1.05","1.672","2.756","68.0","0.21","4.264","0.954","0.695","8.2","1.008","1.847","0.0","1.443","1.095","0.0","1.176","0.782","0.26","0.714","1.237","0.0","0.0"
"cms1icton0006unr58htz26nb","173744","фасоль красная","Beans, kidney, red, mature seeds, raw","green","2026-07-26 08:00:13.127","337.0","22.53","1.06","61.29","11.75","15.2","2.1","0.0","0.0","0.0","0.0","0.0","0.154","0.082","0.586","0.0","0.0","0.0","0.814","83.0","6.69","138.0","406.0","1359.0","12.0","2.79","0.699","1.111","3.2","4.5","0.608","0.215","2.11","0.78","0.397","0.0","394.0","0.0","0.0","0.0","0.21","5.6","1.547","0.339","0.945","1.395","2.725","0.0","0.245","3.436","0.88","0.627","3.2","0.995","1.799","0.0","1.218","0.955","0.0","1.226","0.948","0.267","0.634","1.179","0.0","0.0"
"cms1id39f0007unr58tpmu36z","170086","фасоль пестрая","Beans, pinto, raw","green","2026-07-26 08:00:25.54","62.0","5.25","0.9","11.6","81.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.109","0.067","0.523","0.0","0.0","0.0","0.712","43.0","1.97","53.0","94.0","307.0","153.0","0.5","0.32","0.366","0.6","21.7","0.23","0.175","2.28","0.74","0.171","0.0","118.0","0.0","0.0","0.0","0.0","0.0","0.299","0.055","0.218","0.286","0.682","0.0","0.06","0.64","0.181","0.147","0.6","0.233","0.377","0.012","0.265","0.212","0.0","0.281","0.22","0.055","0.181","0.27","0.0","0.0"
"cms1id6c70008unr5es499zgo","173734","фасоль черная","Beans, black, raw","green","2026-07-26 08:00:29.528","341.0","21.6","1.42","62.36","11.02","15.5","2.12","0.0","0.0","0.0","0.0","0.0","0.366","0.123","0.61","0.0","0.0","0.0","0.9420000000000002","123.0","5.02","171.0","352.0","1483.0","5.0","3.65","0.841","1.06","3.2","0.0","0.9","0.193","1.955","0.899","0.286","0.0","444.0","0.0","0.0","0.0","0.21","5.6","1.483","0.325","0.905","1.337","2.613","0.0","0.235","3.294","0.843","0.601","3.2","0.954","1.725","0.0","1.168","0.916","0.0","1.175","0.909","0.256","0.608","1.13","0.0","0.0"
"cms1id7dn0009unr5tsj73sv5","168396","фасоль лима","Beans, lima, raw","green","2026-07-26 08:00:30.876","113.0","6.84","0.86","20.17","70.24","4.9","1.48","0.0","0.0","0.0","0.0","0.0","0.198","0.05","0.419","0.0","0.0","0.0","0.702","34.0","3.14","58.0","136.0","467.0","8.0","0.78","0.318","1.215","1.8","23.4","0.217","0.103","1.474","0.247","0.204","0.0","34.0","0.0","10.0","0.0","0.32","5.6","0.452","0.068","0.26","0.458","0.735","126.0","0.083","0.881","0.274","0.232","1.8","0.44","0.538","0.0","0.337","0.102","0.0","0.427","0.29","0.09","0.22","0.427","0.0","0.0"
"cms1id7rq000aunr5yt7s5axs","173727","фасоль адзуки","Beans, adzuki, raw","green","2026-07-26 08:00:31.382","329.0","19.87","0.53","62.9","13.44","12.7","0.0","0.0","0.0","0.0","0.0","0.0","0.191","0.05","0.113","0.0","0.0","0.0","0.226","66.0","4.98","127.0","381.0","1254.0","5.0","5.04","1.094","1.73","3.1","0.0","0.455","0.22","2.63","1.471","0.351","0.0","622.0","0.0","1.0","0.0","0.0","0.0","1.497","0.21","1.16","1.284","2.355","0.0","0.184","3.099","0.756","0.524","3.1","0.791","1.668","0.0","1.052","0.874","0.0","0.976","0.674","0.191","0.591","1.023","0.0","0.0"
"cms1idjdc000bunr5w4tatqgw","173904","овсяные хлопья","oats, regular, raw","green","2026-07-26 08:00:46.416","379.0","13.15","6.52","67.7","10.84","10.1","0.99","0.99","0.0","0.0","0.0","0.0","1.11","1.98","2.3","0.0","0.0","0.0","4.5","52.0","4.25","138.0","410.0","362.0","6.0","3.64","0.391","3.63","28.9","0.0","0.46","0.155","1.125","1.12","0.1","0.0","32.0","0.0","0.0","0.0","0.42","2.0","0.637","0.207","0.563","0.85","1.217","0.0","0.455","2.83","0.642","0.275","28.9","0.503","0.98","0.0","0.665","0.451","0.0","0.705","0.382","0.182","0.395","0.688","0.0","0.0"
